location_id,latitude,longitude
"1-10080687826",51.931284,1.228344
"1-10081068383",51.616702,-0.313254
"1-15915407249",51.616702,-0.313254
"1-10084427495",50.825012,-0.175957
"1-10085464015",51.459581,0.369603
"1-10085774795",53.104809,-0.173754
"1-10085964179",53.720483,-1.863944
"1-10086441080",51.380579,-0.246592
"1-12415846815",51.380579,-0.246592
"1-10086770014",51.246556,-0.588333
"1-10086908874",50.584411,-3.492352
"1-10087422956",50.790748,-0.676223
"1-10087632956",51.358923,1.406301
"1-522468574",51.358923,1.406301
"1-5323894544",51.358923,1.406301
"1-10090641315",52.058208,1.124403
"1-10090641405",52.581441,-2.127135
"1-10090818009",51.613742,0.529151
"1-131481687",51.613742,0.529151
"1-10091094862",51.461782,-0.190332
"1-10091346189",50.311068,-5.198597
"1-1010200978",51.165711,0.877798
"1-1010201117",51.032546,0.788433
"1-1010701645",52.712578,1.636254
"1-1010722651",52.410296,-1.485988
"1-1010884111",51.606614,-0.274998
"1-1010950092",51.762841,-0.214983
"1-1011039037",52.39867,-1.986177
"1-10111022181",53.367321,-2.265103
"1-11175133135",53.367321,-2.265103
"1-4284198249",53.367321,-2.265103
"1-10121493308",51.071324,-1.818563
"1-7090129199",51.071324,-1.818563
"1-10126448659",53.558817,-0.040574
"1-10127416740",51.510264,-0.334353
"1-10370235190",51.510264,-0.334353
"1-1264349857",51.510264,-0.334353
"1-4546463182",51.510264,-0.334353
"1-1012933568",52.42665,-1.503108
"1-12126401224",52.42665,-1.503108
"1-12370052815",52.42665,-1.503108
"1-2142848607",52.42665,-1.503108
"1-25101657148",52.42665,-1.503108
"1-3618483402",52.42665,-1.503108
"1-4148094871",52.42665,-1.503108
"1-4163438000",52.42665,-1.503108
"1-4247454635",52.42665,-1.503108
"1-4512618861",52.42665,-1.503108
"1-5093507620",52.42665,-1.503108
"1-5519097520",52.42665,-1.503108
"1-7485140611",52.42665,-1.503108
"1-8222436834",52.42665,-1.503108
"1-965129501",52.42665,-1.503108
"1-10132218916",50.270756,-4.78844
"1-10133073925",53.692498,-1.631123
"1-1013392643",50.939729,-1.399147
"1-10145657596",52.948943,-2.098765
"1-1015183303",52.034842,-2.422334
"1-2210769079",52.034842,-2.422334
"1-10153232335",51.532367,0.580009
"1-1015336035",52.413748,0.274519
"1-118660055",50.211084,-5.300828
"1-1015358696",52.331167,0.334774
"1-1015358959",52.278923,0.332484
"1-10153953405",51.47597,0.275403
"1-12344203640",51.47597,0.275403
"1-16054132045",51.47597,0.275403
"1-8827633474",51.47597,0.275403
"1-10154187927",53.677805,-1.522086
"1-10154690795",52.679332,-2.433601
"1-5471802879",52.679332,-2.433601
"1-10154883924",51.477039,-0.04068
"1-10154900391",51.359835,-2.929612
"1-1015603399",51.521225,-0.147745
"1-1015786013",51.534584,-0.332773
"1-1015909323",53.848638,-1.838799
"1-10160329535",52.901355,-0.662707
"1-4389640153",52.901355,-0.662707
"1-4695868913",52.901355,-0.662707
"1-4776420749",52.901355,-0.662707
"1-4842643650",52.901355,-0.662707
"1-4946432212",52.901355,-0.662707
"1-5319631484",52.901355,-0.662707
"1-6096659133",52.901355,-0.662707
"1-10160536681",52.85578,-2.723186
"1-10160947957",53.599028,-2.268047
"1-10161000025",52.337316,-2.057658
"1-4652126081",52.337316,-2.057658
"1-10161002725",53.79793,-2.689749
"1-10161121404",51.461485,-0.011029
"1-12257227037",51.461485,-0.011029
"1-13370182729",51.461485,-0.011029
"1-146821210",51.461485,-0.011029
"1-2379489685",51.461485,-0.011029
"1-6193098257",51.461485,-0.011029
"1-10162181275",52.569357,0.858313
"1-10166336544",51.293623,-0.78704
"1-10166721141",51.317103,-0.183717
"1-10166745153",51.343766,-0.497937
"1-10166914310",51.51698,-0.156306
"1-10170537209",52.182793,0.997946
"1-10171769695",50.852259,0.529559
"1-10172596652",53.69393,-1.286677
"1-10175462412",51.599555,0.669048
"1-1017570228",52.479558,-1.740557
"1-10177221864",51.437314,-0.973001
"1-10177228205",52.075518,-1.343648
"1-11371588860",52.075518,-1.343648
"1-4299374194",52.075518,-1.343648
"1-10177314045",52.304105,-0.662662
"1-10177317455",52.563665,-2.102242
"1-2153634626",52.563665,-2.102242
"1-2161811352",52.563665,-2.102242
"1-2206404359",52.563665,-2.102242
"1-3640951090",52.563665,-2.102242
"1-4233544528",52.563665,-2.102242
"1-10177937832",51.503333,-0.07484
"1-10178239555",53.521594,-1.161564
"1-10178265067",53.201351,-0.612326
"1-1535823573",53.201351,-0.612326
"1-5498119390",53.201351,-0.612326
"1-10189115743",52.621355,-1.113222
"1-10192527529",51.513142,0.066339
"1-119792065",51.513142,0.066339
"1-10192918863",53.520601,-1.393148
"1-10192918971",53.520601,-1.393148
"1-5135662330",53.520601,-1.393148
"1-5135662444",53.520601,-1.393148
"1-10193644634",54.537859,-1.050933
"1-10193714095",51.60249,-0.193306
"1-12369721155",51.60249,-0.193306
"1-10193783923",53.527273,-2.418639
"1-13221571870",53.527273,-2.418639
"1-13561031746",53.527273,-2.418639
"1-10194189629",51.362806,-0.693142
"1-10194284742",51.533569,-0.417965
"1-1019548217",53.614039,-0.963724
"1-1019722172",51.357776,-0.217529
"1-10198268896",52.689484,-1.819369
"1-10198525686",51.617571,-0.715085
"1-10198885912",51.657117,-0.454609
"1-10198886578",51.47868,0.32341
"1-4382167450",51.47868,0.32341
"1-4459838793",51.47868,0.32341
"1-6525950135",51.47868,0.32341
"1-8365078506",51.47868,0.32341
"1-8428377896",51.47868,0.32341
"1-10198909495",53.156625,-1.150291
"1-10199022721",52.98148,-1.238122
"1-10199032786",51.541064,0.678691
"1-10199400837",53.372533,-1.370874
"1-120702301",53.372533,-1.370874
"1-8519822952",53.372533,-1.370874
"1-10199602829",51.864205,-2.252114
"1-10199603338",51.493065,-0.156667
"1-8167721835",51.493065,-0.156667
"1-10199983359",50.93242,-1.426422
"1-10200463066",51.311253,0.898466
"1-12419394799",51.311253,0.898466
"1-2384458741",51.311253,0.898466
"1-4339536848",51.311253,0.898466
"1-1020287965",51.791045,1.153423
"1-10393291795",51.791045,1.153423
"1-10204180885",50.732789,-1.863118
"1-19190957397",50.732789,-1.863118
"1-3045211555",50.732789,-1.863118
"1-5650432951",50.732789,-1.863118
"1-10204301199",51.135385,1.298625
"1-10204310286",51.062532,-1.318929
"1-10204516858",52.782674,-0.427164
"1-10204544161",50.260048,-5.120354
"1-10204873504",51.472269,-0.011107
"1-130486688",51.472269,-0.011107
"1-10204884770",53.476396,-2.112826
"1-10204941951",53.776047,-3.025896
"1-10205034750",51.293407,-0.333634
"1-10205172639",51.498963,-2.522208
"1-10205172753",51.165658,0.813019
"1-10205172817",53.031521,-1.194055
"1-10205172843",52.658167,0.147579
"1-10205173491",51.447788,-0.241025
"1-10206005895",51.867561,-2.242576
"1-10206536582",52.69438,-2.232742
"1-19320176487",52.69438,-2.232742
"1-126635477",53.42513,-3.035396
"1-150080270",53.42513,-3.035396
"1-10206782625",50.863062,-1.179545
"1-10210349838",51.590498,-0.037347
"1-10210427807",50.872321,0.25092
"1-10210512918",51.563522,-0.269429
"1-10210803891",53.689759,-1.634887
"1-5282118849",53.689759,-1.634887
"1-543192597",53.689759,-1.634887
"1-10210970499",53.065994,-2.519466
"1-10211192128",52.708314,-2.757468
"1-10212079624",51.287759,1.344381
"1-15103901784",51.287759,1.344381
"1-9617311939",51.287759,1.344381
"1-10212572454",51.693821,-0.241009
"1-10212930207",53.832241,-3.054892
"1-2847396356",53.832241,-3.054892
"1-10216615141",52.955637,-0.034904
"1-10217283308",52.470328,-1.9301
"1-10218428676",51.481649,-0.692399
"1-10218453372",53.985346,-1.491386
"1-10218920548",51.531861,-0.057026
"1-10224972832",50.846855,-1.045654
"1-23693773979",50.846855,-1.045654
"1-10224972925",50.868309,-1.025873
"1-10224973526",50.968747,-1.38681
"1-10232435880",53.757494,-2.706619
"1-10232604320",51.41553,-0.252992
"1-10232831113",51.563445,-0.300453
"1-10232851722",51.516823,-0.086422
"1-110951204",51.516823,-0.086422
"1-5101406993",51.516823,-0.086422
"1-10232918247",52.252172,-0.917647
"1-14213550279",52.252172,-0.917647
"1-2105254125",52.252172,-0.917647
"1-2519401609",52.252172,-0.917647
"1-658043400",52.252172,-0.917647
"1-714606904",52.252172,-0.917647
"1-10232991068",52.969057,-1.155595
"1-115091774",52.969057,-1.155595
"1-10233259479",52.584487,1.708637
"1-10233651067",52.463909,-1.88438
"1-3090033271",52.463909,-1.88438
"1-3618718602",52.463909,-1.88438
"1-6322680797",52.463909,-1.88438
"1-10234713801",53.498025,-1.152502
"1-13414725774",53.498025,-1.152502
"1-2866375604",53.498025,-1.152502
"1-10235302415",53.803668,-1.507098
"1-10238814355",51.904147,-1.137037
"1-7694023867",51.904147,-1.137037
"1-10239195055",51.937374,0.640859
"1-10592451713",51.937374,0.640859
"1-10239875825",51.620258,0.415281
"1-140911075",51.620258,0.415281
"1-496391395",51.620258,0.415281
"1-10240251136",53.394836,-3.17443
"1-10240490182",51.548687,-0.243569
"1-11040315646",51.548687,-0.243569
"1-10240491798",52.520023,-1.927163
"1-10240768384",51.519747,-0.147574
"1-11176072964",51.519747,-0.147574
"1-11247451392",51.519747,-0.147574
"1-11861822208",51.519747,-0.147574
"1-12303870045",51.519747,-0.147574
"1-10240838706",51.592389,-0.3824
"1-10240859556",51.593833,0.024606
"1-1716239296",51.593833,0.024606
"1-10240881008",51.531332,0.155418
"1-10650445163",51.531332,0.155418
"1-2001163039",51.531332,0.155418
"1-1024119613",53.450789,-2.997833
"1-10241877096",51.507989,-0.124663
"1-10242251005",52.467768,1.743538
"1-10244960159",51.510861,-0.593484
"1-1986610361",51.510861,-0.593484
"1-10245080845",51.466676,-0.193954
"1-10245842735",52.895652,-1.456637
"1-10246030306",50.749111,-1.99861
"1-933177483",50.749111,-1.99861
"1-10246862368",51.380709,1.304585
"1-1024807955",53.455971,-2.068633
"1-10250002572",51.294335,-0.540671
"1-10251008990",51.352203,-1.127023
"1-1025130100",53.685476,-1.518486
"1-10252055657",53.501348,-1.063033
"1-10252295859",50.955488,-0.148485
"1-120714978",50.955488,-0.148485
"1-2080649515",50.955488,-0.148485
"1-10255935121",52.658508,-1.936749
"1-10256158264",54.816004,-1.449832
"1-10256443613",51.507457,-0.272694
"1-10256887172",52.532677,-2.41719
"1-10257022305",51.62952,-0.176382
"1-10258834996",51.415445,-0.962778
"1-164474129",51.415445,-0.962778
"1-164474176",51.415445,-0.962778
"1-1026224214",51.940218,-2.15698
"1-1026390206",53.569154,-0.619693
"1-10264528005",51.478678,0.415614
"1-13917704123",51.478678,0.415614
"1-1026565684",51.527917,0.026713
"1-582393811",51.527917,0.026713
"1-1027042974",52.61322,-1.102561
"1-10272290623",53.203039,-0.616015
"1-10272518016",52.607068,-1.993351
"1-10272751952",50.250552,-5.044941
"1-5177046040",50.250552,-5.044941
"1-10273336350",53.960985,-1.027678
"1-10274316546",53.907607,-1.411595
"1-10278691146",50.824354,0.24076
"1-10278815152",50.818455,-0.410915
"1-10279316580",52.780652,-1.200917
"1-368443898",52.780652,-1.200917
"1-4998767076",52.780652,-1.200917
"1-10279442627",53.37932,-2.26124
"1-10279987808",53.426807,-1.345905
"1-10280201096",54.047591,-2.798909
"1-10280585086",51.802809,-0.738104
"1-10280585316",50.83195,-0.756825
"1-10285367346",53.670629,-1.478211
"1-10285412143",51.129304,-3.005507
"1-10285717693",52.414651,-1.830623
"1-1028736331",51.352501,-2.251274
"1-10289640215",51.460732,-0.32798
"1-1028986728",52.182089,-1.762076
"1-19896726998",52.182089,-1.762076
"1-10290246291",52.418326,-1.509656
"1-10290874191",51.206972,-4.12178
"1-10291171527",52.179749,-1.854986
"1-10291487556",54.976102,-1.609612
"1-553847819",54.976102,-1.609612
"1-9580041265",54.976102,-1.609612
"1-10291543287",52.529507,-2.057572
"1-10291602375",52.332623,-0.190022
"1-10292353574",51.975911,-0.732041
"1-1029276107",50.940008,-3.308741
"1-1029332346",52.929943,-1.125635
"1-1029431911",52.277004,-1.498287
"1-10295187305",52.79192,-1.57047
"1-11392332554",52.79192,-1.57047
"1-11588414972",52.79192,-1.57047
"1-10296068630",51.782175,-0.188007
"1-10296466629",53.383645,-2.345592
"1-9926544580",53.383645,-2.345592
"1-10296523904",53.354504,-2.854685
"1-6350647101",53.354504,-2.854685
"1-10297095201",50.624829,-1.175543
"1-120089368",50.624829,-1.175543
"1-10297119338",54.908814,-1.501551
"1-10297706430",54.690747,-1.561902
"1-127478632",54.690747,-1.561902
"1-1029779693",51.764215,-1.261051
"1-11217728325",51.764215,-1.261051
"1-10299278990",52.666266,-1.133416
"1-2345302591",52.666266,-1.133416
"1-4890871392",52.666266,-1.133416
"1-7580104818",52.666266,-1.133416
"1-10308546309",52.578726,-0.210297
"1-334729936",52.578726,-0.210297
"1-3551820515",52.578726,-0.210297
"1-1031162250",51.851266,-2.256832
"1-10311969518",53.408636,-2.552787
"1-10312246250",50.766361,0.282491
"1-10312821101",53.655126,-1.786791
"1-10905935312",53.655126,-1.786791
"1-12566947331",53.655126,-1.786791
"1-10312926756",52.584875,-2.126894
"1-7938737269",52.584875,-2.126894
"1-10313682742",51.829106,-1.302465
"1-1031394829",51.918172,-2.099921
"1-1031538887",51.99482,-2.156966
"1-10317601223",51.716527,-1.215652
"1-12338623319",51.716527,-1.215652
"1-8457181721",51.716527,-1.215652
"1-10317767036",50.985675,-1.501087
"1-10318541762",53.466995,-2.216346
"1-9943565245",53.466995,-2.216346
"1-10318563677",51.361996,-0.112576
"1-1031883348",52.583333,-1.134697
"1-8573157322",52.583333,-1.134697
"1-10318902715",53.165101,-2.211413
"1-20307911102",53.165101,-2.211413
"1-559443479",53.165101,-2.211413
"1-9273360162",53.165101,-2.211413
"1-1031902754",53.126228,0.339481
"1-10319123188",51.641826,-0.086294
"1-10319151006",53.901068,-2.775016
"1-10319636506",51.402121,-0.168117
"1-2945325747",51.402121,-0.168117
"1-2945367646",51.402121,-0.168117
"1-10320185240",52.376887,-2.006219
"1-10324127390",52.086914,-2.274221
"1-10324365409",51.566748,0.219009
"1-7530575270",51.566748,0.219009
"1-9760144576",51.566748,0.219009
"1-10324573241",52.406261,-1.720201
"1-10325002394",50.817332,-1.85657
"1-10325022286",51.642246,-0.14036
"1-10326087724",53.355366,-1.507245
"1-10329559955",52.5059,-0.641741
"1-4357774547",52.5059,-0.641741
"1-10329660089",54.970642,-1.710607
"1-10330121845",52.218891,-2.196035
"1-111132927",52.218891,-2.196035
"1-10330299332",51.577443,-0.082621
"1-10330638335",53.413082,-2.533948
"1-10331034957",51.518854,-0.14738
"1-2592327111",51.518854,-0.14738
"1-10331514428",53.336256,-2.226061
"1-10332077498",51.467471,-0.369084
"1-11064537248",51.467471,-0.369084
"1-10336570859",51.113345,0.954236
"1-6467591827",51.113345,0.954236
"1-10337307194",53.752455,-2.383449
"1-10337420358",53.588137,-0.6534
"1-1033895377",51.631016,0.415158
"1-1034083748",51.530078,-0.446748
"1-1034153843",53.73282,-0.394917
"1-10342679718",51.433374,-0.464487
"1-10484505072",51.433374,-0.464487
"1-1034441807",51.623095,-0.121929
"1-10347286654",54.914242,-1.37329
"1-2614677740",54.914242,-1.37329
"1-7244338786",54.914242,-1.37329
"1-10347645636",53.298993,-2.915815
"1-10351768475",54.602635,-1.570107
"1-10352416677",54.822155,-1.743712
"1-2209566452",54.822155,-1.743712
"1-10352652735",51.564682,-1.801676
"1-10917370115",51.564682,-1.801676
"1-136519356",51.564682,-1.801676
"1-3069148842",51.564682,-1.801676
"1-618947723",51.564682,-1.801676
"1-10352677369",53.256918,-2.953365
"1-10352749677",50.938312,-1.391281
"1-23378937084",50.938312,-1.391281
"1-10352934745",51.510944,-0.413216
"1-10417352097",54.135851,-1.526217
"1-10353685635",54.996541,-1.426593
"1-10357649929",51.521143,-0.14772
"1-5584445941",51.521143,-0.14772
"1-5619779985",51.521143,-0.14772
"1-10357916440",51.666747,-0.071072
"1-10358094510",53.848093,-3.052189
"1-10358103679",51.521215,-0.14825
"1-10577533941",51.521215,-0.14825
"1-10358124576",51.413185,-2.740327
"1-189838530",51.413185,-2.740327
"1-10358305424",51.600335,0.303145
"1-24796703162",51.600335,0.303145
"1-10358534559",51.348641,0.686122
"1-10358651148",50.382399,-4.049547
"1-10358952663",51.861944,-2.249691
"1-12865113024",51.861944,-2.249691
"1-10359595731",53.346733,-1.495583
"1-854914523",53.346733,-1.495583
"1-10359709380",51.093916,0.853598
"1-10359728002",53.796894,-2.687136
